"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Running (Treadmill)";"1";"";"";"";"2000.0";"15.0";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Squat (Barbell)";"1";"10.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Squat (Barbell)";"2";"20.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Squat (Barbell)";"3";"30.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Squat (Barbell)";"4";"40.0";"10";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Press";"1";"90.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Press";"2";"120.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Press";"3";"140.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Press";"4";"170.0";"10";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Extension (Machine)";"1";"30.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Extension (Machine)";"2";"40.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Extension (Machine)";"3";"50.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Leg Extension (Machine)";"4";"60.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Lying Leg Curl (Machine)";"1";"20.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Lying Leg Curl (Machine)";"2";"30.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Lying Leg Curl (Machine)";"3";"40.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Lying Leg Curl (Machine)";"4";"55.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Standing Calf Raise (Machine)";"1";"50.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Standing Calf Raise (Machine)";"2";"90.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Standing Calf Raise (Machine)";"3";"130.0";"12";"";"";"";"";"Leg"
"1";"2023-05-18 19:32:15";"Evening Workout";"17153";"Standing Calf Raise (Machine)";"4";"170.0";"10";"";"";"";"";"Leg"
"2";"2023-05-19 18:19:29";"Evening Workout";"4246";"Shoulder Press (Machine)";"1";"20.0";"12";"";"";"";"";"Shoulder"
"2";"2023-05-19 18:19:29";"Evening Workout";"4246";"Shoulder Press (Machine)";"2";"25.0";"12";"";"";"";"";"Shoulder"
"2";"2023-05-19 18:19:29";"Evening Workout";"4246";"Shoulder Press (Machine)";"3";"30.0";"12";"";"";"";"";"Shoulder"
"2";"2023-05-19 18:19:29";"Evening Workout";"4246";"Shoulder Press (Machine)";"4";"35.0";"8";"";"";"";"";"Shoulder"
"2";"2023-05-19 18:19:29";"Evening Workout";"4246";"Front Raise (Plate)";"1";"15.0";"12";"";"";"";"";"Shoulder"
"2";"2023-05-19 18:19:29";"Evening Workout";"4246";"Front Raise (Plate)";"2";"15.0";"12";"";"";"";"";"Shoulder"
